date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:00	44068/44068	---MCZ	200	added ('OK')	text/plain	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/webfonts/fa-solid-900.woff2	G:/prject/online/login/brandio.io/envato/iofrm/html/webfonts/fa-solid-900.woff2	(from http://brandio.io/envato/iofrm/html/css/fontawesome-all.min.css)
22:29:00	115148/115148	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/webfonts/fa-solid-900.eot?	G:/prject/online/login/brandio.io/envato/iofrm/html/webfonts/fa-solid-900d41d.eot	(from http://brandio.io/envato/iofrm/html/css/fontawesome-all.min.css)
22:29:06	3606/3606	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/images/logo-dark.svg	G:/prject/online/login/brandio.io/envato/iofrm/html/images/logo-dark.svg	(from http://brandio.io/envato/iofrm/html/css/iofrm-style.css)
22:29:06	420283/420283	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/webfonts/fa-solid-900.svg	G:/prject/online/login/brandio.io/envato/iofrm/html/webfonts/fa-solid-900.svg	(from http://brandio.io/envato/iofrm/html/css/fontawesome-all.min.css)
22:29:08	2439/2439	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login1.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login1.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:08	114928/114928	---M-Z	200	added ('OK')	application/x-font-ttf	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/webfonts/fa-solid-900.ttf	G:/prject/online/login/brandio.io/envato/iofrm/html/webfonts/fa-solid-900.ttf	(from http://brandio.io/envato/iofrm/html/css/fontawesome-all.min.css)
22:29:11	14035/14035	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/img/form1.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form1.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:11	13582/13582	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form2.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form2.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:12	2947/2947	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/login3.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login3.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:12	41083/41083	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/images/img2.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/images/img2.jpg	(from http://brandio.io/envato/iofrm/html/css/iofrm-theme2.css)
